wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
135,23,3,23,"CantQuSol, l. 23",ai_met,aimet,_,Aimə,a.i.m.et,'/A\i.m/(ə)\,fro,VERcjg,indpst3,aimer,DMF,aimer,,,
136,23,4,23,"CantQuSol, l. 23",tant,tant,|,tANT,t.a.n.t,t/A\NT,fro,ADVgen,---,tant,DMF,tant,,,
137,23,5,23,"CantQuSol, l. 23",toz,toz,_,toÇ,t.o.z,t/o\Ç,fro,DETind,pmr,tout,DMF,tout,,,<lb/>
138,23,6,23,"CantQuSol, l. 23",temps,temps,_,tENPS,t.e.m.p.s,t/E\NPS,fro,NOMcom,pmr,temps,DMF,temps,,,
139,23,7,23,"CantQuSol, l. 23",li,li,+,Li,l.i,L/i\,fro,PRCper,3smi,le,DMF,le,,,
140,23,8,23,"CantQuSol, l. 23",soi,soi,_,Soi,s.o.i,S/o\i,fro,VERcjg,indpst1,être,DMF,être,,,
141,23,9,23,"CantQuSol, l. 23",nouelet,novelet,_,novɛlə,n.o.v.e.l.et,n/o\.'v/ɛ\.l/(ə)\,fro,ADJqua,sfn,nouveau,DMF,nouveau,,</q></l>,
142,24,1,24,"CantQuSol, l. 24",soe,soe,+,Soə,s.o.e,'S/o\./(ə)\,fro,DETpos,3sfr,son4,DMF,son4,,,<l n=&quot;24&quot;><q>
143,24,2,24,"CantQuSol, l. 24",mer|cid,mercid,;,mErʦi,m.e.r.c.id,m/E\r.'ʦ/i\,fro,NOMcom,sfr,merci,DMF,merci,,</q></l></lg>,
144,25,1,25,"CantQuSol, l. 25",Dolćór,dolcor,_,doLÇor,d.o.l.c.o.r,d/o\L.'Ç/o\r,fro,NOMcom,sfr,douceur,DMF,douceur,,,"<lb/><lg n=&quot;9&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;25&quot;><q>"
145,25,2,25,"CantQuSol, l. 25",de,de,+,dE,d.e,d/(E)\,fro,PRE,---,de,DMF,de,,,
146,25,3,25,"CantQuSol, l. 25",mel,mel,_,mɛl,m.e.l,m/ɛ\l,fro,NOMcom,smr,miel,DMF,miel,,,
147,25,4,25,"CantQuSol, l. 25",apeleid,apeleid,_,ApElEiT,a.p.e.l.e.i.d,/A\.p/E\.'l/E\iT,fro,VERcjg,indipf3,appeler,DMF,appeler,,,
148,25,5,25,"CantQuSol, l. 25",mes,mes,|,mES,m.e.s,m/E\S,fro,DETpos,1pfr,mon,DMF,mon,,,
149,25,6,25,"CantQuSol, l. 25",leures,levres,_,LɛvrəS,l.e.v.r.e.s,'L/ɛ\.vr/ə\S,fro,NOMcom,pfr,lèvre,DMF,lèvre,,</q></l>,<lb/>
150,26,1,26,"CantQuSol, l. 26",de,de,+,dE,d.e,d/(E)\,fro,PRE,---,de,DMF,de,,,<l n=&quot;26&quot;><q>
151,26,2,26,"CantQuSol, l. 26",soiz,soiz,_,SɔiÇ,s.o.i.z,S/ɔ\iÇ,fro,PRE,---,sous,DMF,sous,,,
152,26,3,26,"CantQuSol, l. 26",ma,ma,+,mA,m.a,m/(A)\,fro,DETpos,1sfr,mon,DMF,mon,,,
153,26,4,26,"CantQuSol, l. 26",languet,languet,_,LANgə,l.a.n.gu.et,'L/A\N.g/ə\,fro,NOMcom,sfr,langue,DMF,langue,,,
154,26,5,26,"CantQuSol, l. 26",est,est,|,ɛST,e.s.t,/ɛ\ST,fro,VERcjg,indpst3,être,DMF,être,,,
155,26,6,26,"CantQuSol, l. 26",li,li,+,Li,l.i,L/i\,fro,DETdef,smn,le,DMF,le,,,<lb/>
156,26,7,26,"CantQuSol, l. 26",laiz,laiz,_,LAiÇ,l.a.i.z,L/A\iÇ,fro,NOMcom,smn,lait,DMF,lait,,,
157,26,8,26,"CantQuSol, l. 26",[et],et,_,e,et,/e\,fro,CONcoo,---,et,DMF,et,,,
158,26,9,26,"CantQuSol, l. 26",les,les,_,LES,l.e.s,L/E\S,fro,DETdef,pfn,le,DMF,le,,,
159,26,10,26,"CantQuSol, l. 26",réés,rees,_,ræəS,r.e.e.s,'r/æ\./(ə)\S,fro,NOMcom,pfn,rée,DMF,rée,,</q></l>,
160,27,1,27,"CantQuSol, l. 27",[et],et,_,e,et,/e\,fro,CONcoo,---,et,DMF,et,,,<l n=&quot;27&quot;><q>
