wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
259,69,6,cel,cel,–,Sɛl,c.e.l,,pro,NOMcom,NOMcom,smr,cèl,DOM,,"CantAnn, l. 69",,,
260,69,7,uengut,vengut,–,vENgyT,v.e.n.g.u.t,,pro,VERppe,VERppe,smr,venir,DOM,,"CantAnn, l. 69",,</l>,
261,70,1,e,e,+,E,e,,pro,CONcoo,CONcoo,,e,DOM,,"CantAnn, l. 70",,,<l n=&quot;70&quot;>
262,70,2,la,la,_,LA,l.a,,pro,DETdef,DETdef,sfn,la,DOM,,"CantAnn, l. 70",,,
263,70,3,domp_na,dompna,–,dONpnA,d.o.m.p.n.a,,pro,NOMcom,NOMcom,sfn,dómna,DOM,,"CantAnn, l. 70",,,
264,70,4,l,l,+,L,l,,pro,PRCper,PRCper,3sma,lo3,DOM,,"CantAnn, l. 70",,,
265,70,5,a,a,_,A,a,,pro,VERcjg,VERcjg,indpst3,avér,DOM,,"CantAnn, l. 70",,,
266,70,6,creut,creut,–,krEyT,c.r.e.u.t,,pro,VERppe,VERppe,smr,créire,DOM,,"CantAnn, l. 70",,</l>,
267,71,1,p[er],per,_,pEr,p.e.r,,pro,PRE,PRE,,pér,DOM,,"CantAnn, l. 71",,,<l n=&quot;71&quot;>
268,71,2,tal,tal,–,tAl,t.a.l,,pro,PRNind,PRNind,,tal,DOM,,"CantAnn, l. 71",,,
269,71,3,n,n,+,n,n,,pro,PRCadv,PRCadv,,én3,DOM,,"CantAnn, l. 71",,,
270,71,4,esmes,esmes,–|,ɛSmES,e.s.m.e.s,,pro,VERcjg,VERcjg,indpst4,èser,DOM,,"CantAnn, l. 71",,<lb/>,
271,71,5,erum_but,erumbut,_,ErONbyT,e.r.u.m.b.u.t,,pro,VERppe,VERppe,pmn,érompre,DMF,,"CantAnn, l. 71",lemma_SponsT:238,</l>,
