wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
58,15,2,n,n,+,n,n,n/\,pro,PRCadv,PRCadv,,én3,DOM,,"PrVierge2, l. 15",,,
59,15,3,em,em,–,Em,e.m,/E\m,pro,VERcjg,VERcjg,indpst4,èser,DOM,,"PrVierge2, l. 15",word_BrunPrVierge:411 word_SponsT:236 ,,
60,15,4,issit,issit,–,isiT,i.ss.i.t,/i\.'s/i\T,pro,VERppe,VERppe,pmn,eisir,DOM,,"PrVierge2, l. 15",,,
61,15,5,a,a,+,A,a,/A\,pro,PRE,PRE,,a2,DOM,,"PrVierge2, l. 15",,,
62,15,6,bo,bo,_,bo,b.o,b/o\,pro,ADJqua,ADJqua,smr,bóN,DOM,,"PrVierge2, l. 15",,,
63,15,7,chab,chab,_,ċAP,ch.a.b,ċ/A\P,pro,NOMcom,NOMcom,smr,cap,DOM,,"PrVierge2, l. 15",,</l>,
64,16,1,De,de,_,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 16",,,<l n=&quot;16&quot;>
65,16,2,u[=uirgine],virgine,_,QVRQVNV,v.i.r.g.i.n.e,'Q/V\R.Q/V\.'N/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 16",,<supplied reason=&quot;missing&quot;>maria</supplied></l></lg>,
66,17,1,Quod,quod,_,QRVQ,q.u.o.d,QR/V\Q,lat,ETR,ETR,,---,---,,"PrVierge2, l. 17",,,<lg xml:lang=&quot;lat&quot; n=&quot;5&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;17&quot;>
67,17,2,ue–|tustas,vetustas,–,QVQVQQVQ,v.e.t.u.s.t.a.s,Q/V\.'Q/V\Q.Q/V\Q,lat,ETR,ETR,,---,---,,"PrVierge2, l. 17",,<lb/>,
68,17,3,suffocat,suffocat,–,QVQQVQVQ,s.u.f.f.o.c.a.t,'Q/V\Q.Q/V\.'Q/V\Q,lat,ETR,ETR,,---,---,,"PrVierge2, l. 17",,</l>,
69,18,1,hoc,hoc,_,QVQ,h.o.c,Q/V\Q,lat,ETR,ETR,,---,---,,"PrVierge2, l. 18",,,<l n=&quot;18&quot;>
70,18,2,ad,ad,_,VQ,a.d,/V\Q,lat,ETR,ETR,,---,---,,"PrVierge2, l. 18",,,
71,18,3,uitam,vitam,–,QVQVN,v.i.t.a.m,'Q/V\.Q/V\N,lat,ETR,ETR,,---,---,,"PrVierge2, l. 18",,,
72,18,4,reuocat,revocat,–,RVQVQVQ,r.e.v.o.c.a.t,'R/V\.Q/V\.'Q/V\Q,lat,ETR,ETR,,---,---,,"PrVierge2, l. 18",,</l>,
73,19,1,nam,nam,+,NVN,n.a.m,N/V\N,lat,ETR,ETR,,---,---,,"PrVierge2, l. 19",,,<l n=&quot;19&quot;>
74,19,2,se,se,_,QV,s.e,Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 19",,,
75,19,3,deus,deus,–,QVVQ,d.e.u.s,'Q/V\./V\Q,lat,ETR,ETR,,---,---,,"PrVierge2, l. 19",,,
76,19,4,collocat,collocat,_,QVLLVQVQ,c.o.l.l.o.c.a.t,'Q/V\L.L/V\.'Q/V\Q,lat,ETR,ETR,,---,---,,"PrVierge2, l. 19",,</l>,
77,20,1,De,de,+,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 20",,,<l n=&quot;20&quot;>
78,20,2,u[=uirgine],virgine,–|,QVRQVNV,v.i.r.g.i.n.e,'Q/V\R.Q/V\.'N/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 20",,<supplied reason=&quot;missing&quot;>maria</supplied></l></lg><lb/>,
79,21,1,So,so,+,Sɔ,s.o,S/ɔ\,pro,PRNdem,PRNdem,,so,DOM,,"PrVierge2, l. 21",,,<lg n=&quot;6&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;21&quot;>
80,21,2,sabiat,sabiat,_,SAbiAT,s.a.b.i.a.t,'S/A\.b/<i>\./A\T,pro,VERcjg,VERcjg,subpst5,sabér,DOM,,"PrVierge2, l. 21",,<supplied reason=&quot;illegible&quot;>lo qu es be ver</supplied></l>,
81,22,1,no,no,_,nO,n.o,n/O\,pro,ADVneg,ADVneg,,nóN,DOM,,"PrVierge2, l. 22",,,<l n=&quot;22&quot;>
82,22,2,chal,chal,_,ċAl,ch.a.l,ċ/A\l,pro,VERcjg,VERcjg,indpst0,calér,DOM,,"PrVierge2, l. 22",,,
83,22,3,c,c,+,k,c,k/\,pro,CONsub,CONsub,,que2,DOM,,"PrVierge2, l. 22",,,
84,22,4,om,om,_,Om,o.m,/O\m,pro,PRNind,PRNind,smn,óme,DOM,,"PrVierge2, l. 22",,,
85,22,5,s,s,+,S,s,S/\,pro,PRCper,PRCper,3smr,sé,DOM,,"PrVierge2, l. 22",,,
86,22,6,en,en,–,EN,e.n,/E\N,pro,PRCadv,PRCadv,,én3,DOM,,"PrVierge2, l. 22",,,
87,22,7,des.esp[er],desesper,–,dEzESper,d.e.s.e.s.p.e.r,d/E\.z/E\S.'p/e\r,pro,VERcjg,VERcjg,subpst3,dezesperar,DOM,,"PrVierge2, l. 22",,</l>,
88,23,1,deus,deus,–,dɛuS,d.e.u.s,d/ɛ\uS,pro,NOMpro,NOMpro,smn,dèu,DOM,,"PrVierge2, l. 23",,,<l n=&quot;23&quot;>
89,23,2,i,i,_,i,i,/i\,pro,PRCadv,PRCadv,,i,DOM,,"PrVierge2, l. 23",,,
90,23,3,uen,ven,–|,vEn,v.e.n,v/E\n,pro,VERcjg,VERcjg,indpst3,venir,DOM,,"PrVierge2, l. 23",,<lb/>,
91,23,4,p[er],per,_,pEr,p.e.r,p/E\r,pro,PRE,PRE,,pér,DOM,,"PrVierge2, l. 23",,,
92,23,5,nos,nos,–,noS,n.o.s,n/o\S,pro,PRNper,PRNper,4pmr,nós,DOM,,"PrVierge2, l. 23",,,
93,23,6,maner,maner,–,mAner,m.a.n.e.r,m/A\.'n/e\r,pro,VERinf,VERinf,,manér,DOM,,"PrVierge2, l. 23",,</l>,
94,24,1,In,in,+,VN,i.n,/V\N,lat,ETR,ETR,,---,---,,"PrVierge2, l. 24",,,<l xml:lang=&quot;lat&quot; n=&quot;24&quot;>
95,24,2,te,te,_,QV,t.e,Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 24",,,
96,24,3,u[ir]g[o],virgo,_,QVRQV,v.i.r.g.o,'Q/V\R.Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 24",,,
