wd_id,line_id,linewd,dipl,wd_div,word,phon,phon_map,syllabified,lang,pos,pos_syn,morph,penn_pos,syntag,syntag2,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
131,17,1,ki,+,ki,ki,k.i,k/<i>\,pro,PRNrel,PRNrel,smn,WPRO,Qux,Qux,qui,DOM,qui,"Boeci, l. 17",,<l n=&quot;17&quot;>
132,17,2,l,_,l,L,l,/\L,pro,DETdef,DETdef,smr,D,Det,Det,lo2,DOM,le,"Boeci, l. 17",,
133,17,3,mort,_,mort,mɔrT,m.o.r.t,m/ɔ\rT,pro,VERppe,NOMcom,smr,NCS,Vpp,Vpp,morir,DOM,mourir,"Boeci, l. 17",,
134,17,4,[et],+,et,e,et,/e\,pro,CONcoo,CONcoo,,CONJO,Crd,Crd,e,DOM,et,"Boeci, l. 17",,
135,17,5,uius,|,vius,viuS,v.i.u.s,v/i\uS,pro,ADJqua,ADJqua,pmr,NCPL,Adj,Adj,viu,DOM,vif,"Boeci, l. 17",,
136,17,6,tot,_,tot,toT,t.o.t,t/o\T,pro,PRNind,PRNind,snr,Q,QIs,QIs,tót,DOM,tout,"Boeci, l. 17",,<lb/>
137,17,7,a,_,a,A,a,/A\,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,avér,DOM,avoir,"Boeci, l. 17",,
138,17,8,in,+,in,iN,i.n,/i\N,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 17",,
139,17,9,iutiam[en],.,jutjamen,ʤytʤAmEn,j.u.t.j.a.m.e.n,ʤ/y\.tʤ/A\.'m/E\n,pro,NOMcom,NOMcom,smr,NCS,N,N,jutjamén,DOM,jugement,"Boeci, l. 17",</l>,
140,18,1,eps,_,eps,ePS,e.p.s,/e\PS,pro,ADJind,ADJind,pmn,FP,Adj,Adj,éis,DOM,,"Boeci, l. 18",,<l n=&quot;18&quot;>
141,18,2,li,_,li,Li,l.i,L/<i>\,pro,DETdef,DETdef,pmn,D,Det,Det,li2,DOM,le,"Boeci, l. 18",,
142,18,3,satan,_,satan,SAtAn,s.a.t.a.n,S/A\.'t/A\n,pro,NOMcom,NOMcom,pmn,NCPL,N,N,satan,DOM,satan,"Boeci, l. 18",,
143,18,4,son,_,son,SOn,s.o.n,S/O\n,pro,VERcjg,VERcjg,indpst6,VJ,Vfin,Vfin,èser,DOM,être,"Boeci, l. 18",,
144,18,5,en,_,en,EN,e.n,/E\N,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 18",,
145,18,6,so,_,so,So,s.o,S/o\,pro,DETpos,DETpos,3smr,DZ,Det,Det,sóN2,DOM,son4,"Boeci, l. 18",,
146,18,7,mandam[en],|,mandamen,mANdAmEn,m.a.n.d.a.m.e.n,m/A\N.d/A\.'m/E\n,pro,NOMcom,NOMcom,smr,NCS,N,N,mandamén,DOM,mandement,"Boeci, l. 18",</l>,
147,19,1,ses,_,ses,SeS,s.e.s,S/e\S,pro,PRE,PRE,,P,Pre,Pre,séns,DOM,sans,"Boeci, l. 19",,<lb/><l n=&quot;19&quot;>
148,19,2,deu,_,deu,dɛu,d.e.u,d/ɛ\u,pro,NOMpro,NOMpro,smr,NPRS,N,N,dèu,DOM,Dieu,"Boeci, l. 19",,
