wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,map,wd_div,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
349,63,4,62,"AlexAlb, l. 62",ab,ab,AP,a.b,_,fro,VERcjg,VERcjg,indpsp3,avoir,DMF,avoir,,,
372,67,2,66,"AlexAlb, l. 66",ab,ab,AP,a.b,_,fro,VERcjg,VERcjg,indpsp3,avoir,DMF,avoir,,,
460,83,2,82,"AlexAlb, l. 82",ab,ab,AP,a.b,_,fro,VERcjg,VERcjg,indpsp3,avoir,DMF,avoir,,,
595,106,2,105,"AlexAlb, l. 105",ad,ad,Að,a.d,_,fro,VERcjg,VERcjg,indpst0,avoir,DMF,avoir,,,
204,38,7,37,"AlexAlb, l. 37",baron,baron,bArOn,b.a.r.o.n,.,fro,NOMcom,NOMcom,smr,baron,DMF,baron,,</l>,
370,66,5,65,"AlexAlb, l. 65",baron,baron,bArOn,b.a.r.o.n,.,fro,NOMcom,NOMcom,smr,baron,DMF,baron,,</l></lg>,
74,14,3,13,"AlexAlb, l. 13",batalle,batalle,bAtAʎə,b.a.t.a.ll.e,|,fro,NOMcom,NOMcom,sfr,bataille,DMF,bataille,,,
366,66,1,65,"AlexAlb, l. 65",beyn,beyn,bEin,b.e.y.n,_,fro,ADVgen,ADVgen,---,bien,DMF,bien,,,<l n=&quot;65&quot;>
375,67,5,66,"AlexAlb, l. 66",beyn,beyn,bEin,b.e.y.n,_,fro,ADVgen,ADVgen,---,bien,DMF,bien,,,
401,72,5,71,"AlexAlb, l. 71",beyn,beyn,bEin,b.e.y.n,_,fro,ADVgen,ADVgen,---,bien,DMF,bien,,,
461,83,3,82,"AlexAlb, l. 82",beyn,beyn,bEin,b.e.y.n,_,fro,ADVgen,ADVgen,---,bien,DMF,bien,,,
466,84,4,83,"AlexAlb, l. 83",beyn,beyn,bEin,b.e.y.n,_,fro,ADVgen,ADVgen,---,bien,DMF,bien,,,
471,85,4,84,"AlexAlb, l. 84",beyn,beyn,bEin,b.e.y.n,_,fro,ADVgen,ADVgen,---,bien,DMF,bien,,,
494,89,5,88,"AlexAlb, l. 88",beyn,beyn,bEin,b.e.y.n,_,fro,ADVgen,ADVgen,---,bien,DMF,bien,,,
479,86,6,85,"AlexAlb, l. 85",bontaz,bontaz,bONtAÇ,b.o.n.t.a.z,.,fro,NOMcom,NOMcom,sfr,bonté,DMF,bonté,,</l>,
407,73,5,72,"AlexAlb, l. 72",braz,braz,brAÇ,b.r.a.z,|,fro,NOMcom,NOMcom,smr,bras,DMF,bras,,,
392,71,2,70,"AlexAlb, l. 70",bu,bu,by,b.u,_,fro,NOMcom,NOMcom,smr,bu,DMF,bu,,,
281,53,1,52,"AlexAlb, l. 52",ianget,janget,ʤANʤèT,j.a.n.g.e.t,|,fro,VERcjg,VERcjg,indpsp3,changer,DMF,changer,,,<l n=&quot;52&quot;>
586,104,4,103,"AlexAlb, l. 103",cant,cant,kANT,c.a.n.t,_,fro,NOMcom,NOMcom,smr,chant,DMF,chant,,,
432,77,5,76,"AlexAlb, l. 76",caualleyr,cavalleyr,kAvAlEir,c.a.v.a.ll.e.y.r,.,fro,NOMcom,NOMcom,smr,chevalier,DMF,chevalier,,</l>,
