syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
235,22,,f/o\,n,n,n,n,y,y,,n,y,n,121,121,--,2,0209-,,,,,fo,sy
236,22,,b/A\,n,n,n,n,n,y,,n,n,n,122,122,--,3,0308-,,,,,batut,sy
237,22,,t/y\T,n,n,n,y,y,y,,y,n,n,122,122,--,4,0407c,,,,,batut,sy
238,22,,g/A\,n,n,n,n,n,y,,n,n,n,123,123,--,5,0506-,,,,,gablet,sy
239,22,,bL/ɛ\T,n,n,n,y,y,y,,y,n,n,123,123,--,6,0605-,,,,,gablet,sy
240,22,,/E\,n,n,n,n,y,n,,n,y,n,124,124,--,7,0704-,,,,,e,sy
241,22,,L/A\i,n,n,n,n,n,y,,n,n,n,125,125,--,8,0803-,,,,,laidenjet,sy
242,22,,d/E\N,n,n,n,n,n,y,,n,n,n,125,125,--,9,0902-,,,,,laidenjet,sy
243,22,,ʤ/ɛ\T,n,n,n,y,y,y,,y,n,n,125,125,--,10,1001r,,,,,laidenjet,sy
244,23,,S/y\S,n,n,n,n,y,y,,n,y,n,126,126,--,1,0110-,,,,,sus,sy
245,23,,/E\,n,n,n,n,y,n,,n,y,n,127,127,--,2,0209-,,,,,e,sy
246,23,,L/A\,y,n,n,n,y,y,,n,y,n,128,128,--,3,0308-,,,,,la,sy
247,23,,kr/o\T,n,n,n,n,y,y,,n,y,n,129,129,--,4,0407c,,,,,crot,sy
248,23,,b/A\,n,n,n,n,n,y,,n,n,n,130,130,--,5,0506-,,,,,batut,sy
249,23,,t/y\T,n,n,n,y,y,y,,y,n,n,130,130,--,6,0605-,,,,,batut,sy
250,23,,/E\,n,n,n,n,y,n,,n,y,n,131,131,--,7,0704-,,,,,e,sy
