syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
191,25,,p/E\,n,n,n,n,n,y,,n,n,n,147,147,--,6,0604-,,,,,apeleid,sy
192,25,,l/E\iT,n,n,n,y,y,y,,y,n,n,147,147,--,7,0703-,,,,,apeleid,sy
193,25,,m/E\S,n,n,n,n,y,y,,n,y,n,148,148,--,8,0802-,,,,,mes,sy
194,25,,L/ɛ\,n,n,n,y,y,y,,n,n,n,149,149,--,9,0901r,,,,,levres,sy
195,25,,vr/V\S,n,n,n,n,n,y,,y,n,n,149,149,--,el,----r,,,,,levres,el
196,26,,d/E\,y,n,n,n,y,y,,n,y,n,150,150,--,1,0110-,,,,,de,sy
197,26,,S/ɔ\iÇ,n,n,n,n,y,y,,n,y,n,151,151,--,2,0209-,,,,,soiz,sy
198,26,,m/A\,y,n,n,n,y,y,,n,y,n,152,152,--,3,0308-,,,,,ma,sy
199,26,,L/A\N,n,n,n,y,y,y,,n,n,n,153,153,--,4,0407c,,,,,languet,sy
200,26,,g/V\,n,n,n,n,n,y,,y,n,n,153,153,--,el,----c,,,,,languet,el
201,26,,/ɛ\ST,n,n,n,n,y,n,,n,y,n,154,154,--,5,0506-,,,,,est,sy
202,26,,L/i\,n,n,n,n,y,y,,n,y,n,155,155,--,6,0605-,,,,,li,sy
203,26,,L/A\iÇ,n,n,n,n,y,y,,n,y,n,156,156,--,7,0704-,,,,,laiz,sy
204,26,,/e\,n,n,n,n,y,n,,n,y,n,157,157,--,8,0803-,,,,,et,sy
205,26,,L/E\S,n,n,n,n,y,y,,n,y,n,158,158,--,9,0902-,,,,,les,sy
206,26,,r/æ\,n,n,n,y,y,y,,n,n,n,159,159,--,10,1001r,,,,,rees,sy
207,26,,/V\S,y,n,n,n,n,n,,y,n,n,159,159,--,el,----r,,,,,rees,el
208,27,,/e\,n,n,n,n,y,n,,n,y,n,160,160,--,1,0104-,,,,,et,sy
209,27,,ʤ/ɔ\,n,n,n,n,y,y,,n,y,n,161,161,--,2,0203-,,,,,jo,sy
210,27,,S/A\i,n,n,n,n,y,y,,n,y,n,162,162,--,3,0302-,,,,,sai,sy
211,27,,b/E\m,n,n,n,n,y,y,,n,y,n,163,163,--,4,0401r,,,,,beem,sy
212,28,,n/y\LS,n,n,n,n,y,y,,n,y,n,164,164,--,1,0110-,,,,,nuls,sy
213,28,,/O\m,n,n,n,n,y,n,,n,y,n,165,165,--,2,0209-,,,,,om,sy
214,28,,n/E\,y,n,n,n,y,y,,n,y,n,166,166,--,3,0308-,,,,,ne,sy
215,28,,v/i\T,n,n,n,n,y,y,,n,y,n,167,167,--,4,0407c,,,,,vit,sy
216,28,,/A\,n,n,n,n,n,n,,n,n,n,168,168,--,5,0506-,,,,,aromatigement,sy
217,28,,r/O\,n,n,n,n,n,y,,n,n,n,168,168,--,6,0605-,,,,,aromatigement,sy
218,28,,m/A\,n,n,n,n,n,y,,n,n,n,168,168,--,7,0704-,,,,,aromatigement,sy
219,28,,t/i\,n,n,n,n,n,y,,n,n,n,168,168,--,8,0803-,,,,,aromatigement,sy
220,28,,ʤ/E\,n,n,n,n,n,y,,n,n,n,168,168,--,9,0902-,,,,,aromatigement,sy
221,28,,m/E\NT,n,n,n,y,y,y,,y,n,n,168,168,--,10,1001r,,,,,aromatigement,sy
222,29,,k/i\,n,n,n,n,y,y,,n,y,n,169,169,--,1,0110-,,,,,chi,sy
223,29,,t/A\NT,n,n,n,n,y,y,,n,y,n,170,170,--,2,0209-,,,,,tant,sy
224,29,,b/iE\m,n,n,n,n,y,y,,n,y,n,171,171,--,3,0308-,,,,,biem,sy
225,29,,/o\i,n,n,n,y,y,n,,n,n,n,172,172,--,4,0407c,,,,,oillet,sy
226,29,,ʎ/V\,y,n,n,n,n,y,,y,n,n,172,172,--,el,----c,,,,,oillet,el
227,29,,k/O\n,n,n,n,n,y,y,,n,y,n,173,173,--,5,0506-,,,,,con,sy
228,29,,f/O\NT,n,n,n,n,y,y,,n,y,n,174,174,--,6,0605-,,,,,funt,sy
229,29,,m/i\,n,n,n,n,y,y,,n,y,n,175,175,--,7,0704-,,,,,mi,sy
230,29,,v/E\S,n,n,n,n,n,y,,n,n,n,176,176,--,8,0803-,,,,,vestement,sy
231,29,,t/E\,n,n,n,n,n,y,,n,n,n,176,176,--,9,0902-,,,,,vestement,sy
232,29,,m/E\NT,n,n,n,y,y,y,,y,n,n,176,176,--,10,1001r,,,,,vestement,sy
233,30,,/A\L,n,n,n,n,y,n,True,n,y,n,177,"177, 178",--,1,0104-,,,,,a l,sy
234,30,,S/O\m,n,n,n,n,y,y,,n,y,n,179,179,--,2,0203-,,,,,som,sy
235,30,,pL/A\i,n,n,n,n,n,y,,n,n,n,180,180,--,3,0302-,,,,,plaisir,sy
